"Position","Name","Salary","GameInfo","AvgPointsPerGame","teamAbbrev"
"PF/C","Thomas Bryant",3400,"LAL@PHO 10/20/2017 10:00PM ET",11.750,"LAL"
"C","Alan Williams",3400,"LAL@PHO 10/20/2017 10:00PM ET",18.457,"PHO"
"PF/C","Zach Collins",3400,"POR@IND 10/20/2017 07:00PM ET",18.750,"POR"
"PG/SG","Shabazz Napier",3400,"POR@IND 10/20/2017 07:00PM ET",8.811,"POR"
"C","Timofey Mozgov",3400,"ORL@BKN 10/20/2017 07:30PM ET",15.645,"BKN"
"SG/SF","Corey Brewer",3300,"LAL@PHO 10/20/2017 10:00PM ET",10.750,"LAL"
"SG/SF","Joe Harris",3300,"ORL@BKN 10/20/2017 07:30PM ET",15.132,"BKN"
"SG/SF","Arron Afflalo",3300,"ORL@BKN 10/20/2017 07:30PM ET",13.971,"ORL"
"SG/SF","DeAndre' Bembry",3300,"ATL@CHA 10/20/2017 07:00PM ET",6.191,"ATL"
"PF/C","Amir Johnson",3300,"BOS@PHI 10/20/2017 07:00PM ET",15.787,"PHI"
"PF/C","Dwight Powell",3300,"SAC@DAL 10/20/2017 08:30PM ET",15.144,"DAL"
"C","Kosta Koufos",3300,"SAC@DAL 10/20/2017 08:30PM ET",16.635,"SAC"
"PF/C","Channing Frye",3300,"CLE@MIL 10/20/2017 07:00PM ET",16.859,"CLE"
"SG/SF","Kyle Korver",3300,"CLE@MIL 10/20/2017 07:00PM ET",16.672,"CLE"
"SG/SF","Tony Allen",3300,"GS@NO 10/20/2017 09:30PM ET",21.574,"NO"
"PF/C","Henry Ellenson",3300,"DET@WAS 10/20/2017 07:00PM ET",6.988,"DET"
"SG","Jodie Meeks",3300,"DET@WAS 10/20/2017 07:00PM ET",16.021,"WAS"
"PG/SG","Tyler Ennis",3200,"LAL@PHO 10/20/2017 10:00PM ET",8.945,"LAL"
"PF/C","Ed Davis",3200,"POR@IND 10/20/2017 07:00PM ET",13.059,"POR"
"PG","Michael Carter-Williams",3200,"ATL@CHA 10/20/2017 07:00PM ET",15.705,"CHA"
"SG/SF","Dwayne Bacon",3200,"ATL@CHA 10/20/2017 07:00PM ET",9.125,"CHA"
"C","Aron Baynes",3200,"BOS@PHI 10/20/2017 07:00PM ET",12.408,"BOS"
