"Position","Name","Salary","GameInfo","AvgPointsPerGame","teamAbbrev"
"SG/SF","John Holland",3000,"CLE@MIL 10/20/2017 07:00PM ET",8.250,"CLE"
"SF/PF","Jeff Green",3000,"CLE@MIL 10/20/2017 07:00PM ET",16.207,"CLE"
"PG/SG","Iman Shumpert",3000,"CLE@MIL 10/20/2017 07:00PM ET",14.628,"CLE"
"SG/SF","Cedi Osman",3000,"CLE@MIL 10/20/2017 07:00PM ET",11.000,"CLE"
"PF/C","Ante Zizic",3000,"CLE@MIL 10/20/2017 07:00PM ET",14.000,"CLE"
"PG","London Perrantes",3000,"CLE@MIL 10/20/2017 07:00PM ET",-0.500,"CLE"
"SF/PF","D.J. Wilson",3000,"CLE@MIL 10/20/2017 07:00PM ET",14.875,"MIL"
"PG/SG","Jason Terry",3000,"CLE@MIL 10/20/2017 07:00PM ET",9.719,"MIL"
"SG","Sterling Brown",3000,"CLE@MIL 10/20/2017 07:00PM ET",10.250,"MIL"
"PG/SG","Rashad Vaughn",3000,"CLE@MIL 10/20/2017 07:00PM ET",7.815,"MIL"
"PG/SG","DeAndre Liggins",3000,"CLE@MIL 10/20/2017 07:00PM ET",7.702,"MIL"
"SF/PF","Mirza Teletovic",3000,"CLE@MIL 10/20/2017 07:00PM ET",11.413,"MIL"
"SG","Gary Payton II",3000,"CLE@MIL 10/20/2017 07:00PM ET",13.969,"MIL"
"C","Omer Asik",3000,"GS@NO 10/20/2017 09:30PM ET",10.492,"NO"
"SF","Jalen Jones",3000,"GS@NO 10/20/2017 09:30PM ET",0,"NO"
"SF/PF","Solomon Hill",3000,"GS@NO 10/20/2017 09:30PM ET",17.138,"NO"
"SF","Darius Miller",3000,"GS@NO 10/20/2017 09:30PM ET",14.000,"NO"
"SG","Charles Cooke",3000,"GS@NO 10/20/2017 09:30PM ET",3.000,"NO"
"PG","Frank Jackson",3000,"GS@NO 10/20/2017 09:30PM ET",0,"NO"
"C","Alexis Ajinca",3000,"GS@NO 10/20/2017 09:30PM ET",13.237,"NO"
"PF/C","David West",3000,"GS@NO 10/20/2017 09:30PM ET",13.625,"GS"
"PF","Chris Boucher",3000,"GS@NO 10/20/2017 09:30PM ET",0,"GS"
"SF/PF","Kevon Looney",3000,"GS@NO 10/20/2017 09:30PM ET",7.370,"GS"
"C","Damian Jones",3000,"GS@NO 10/20/2017 09:30PM ET",6.000,"GS"
"PG","Quinn Cook",3000,"GS@NO 10/20/2017 09:30PM ET",9.656,"GS"
"SF/PF","Anthony Tolliver",3000,"DET@WAS 10/20/2017 07:00PM ET",15.373,"DET"
"SF","Luis Montero",3000,"DET@WAS 10/20/2017 07:00PM ET",0,"DET"
"SG/SF","Reggie Bullock",3000,"DET@WAS 10/20/2017 07:00PM ET",10.177,"DET"
"PF/C","Eric Moreland",3000,"DET@WAS 10/20/2017 07:00PM ET",0,"DET"
"PG","Dwight Buycks",3000,"DET@WAS 10/20/2017 07:00PM ET",0,"DET"
"PF/C","Chris McCullough",3000,"DET@WAS 10/20/2017 07:00PM ET",4.359,"WAS"
"PF","Mike Young",3000,"DET@WAS 10/20/2017 07:00PM ET",0,"WAS"
"SG/SF","Carrick Felix",3000,"DET@WAS 10/20/2017 07:00PM ET",0,"WAS"
"PF","Mike Scott",3000,"DET@WAS 10/20/2017 07:00PM ET",7.153,"WAS"
"SG","Sheldon Mac",3000,"DET@WAS 10/20/2017 07:00PM ET",5.216,"WAS"
"PG/SG","Tomas Satoransky",3000,"DET@WAS 10/20/2017 07:00PM ET",7.030,"WAS"
"SG","Devin Robinson",3000,"DET@WAS 10/20/2017 07:00PM ET",0,"WAS"
